env_idx,pso_idx,min_cost,p25_cost,p75_cost,max_cost
3,30,4.0852580070495605,4.850559234619141,5.660813212394714,6.729633331298828
0,31,4.248149394989014,5.200147747993469,6.092550873756409,7.362095832824707
1,31,3.909991979598999,4.30491828918457,5.021755933761597,6.263505935668945
2,31,4.016020774841309,4.72992205619812,5.496531128883362,6.206696510314941
3,31,4.03823184967041,4.7578078508377075,5.568757772445679,6.425431251525879
0,32,4.248149394989014,5.236554384231567,6.141830205917358,7.418973922729492
1,32,3.909991979598999,4.292772650718689,5.088305950164795,5.532965183258057
2,32,4.042344093322754,4.773760795593262,5.482926726341248,6.633597373962402
3,32,4.03823184967041,4.861776113510132,5.716452717781067,6.493409633636475
0,33,4.248149394989014,5.223073601722717,6.115899324417114,8.423934936523438
1,33,3.909991979598999,4.342123031616211,5.135956764221191,5.7521233558654785
2,33,3.9373722076416016,4.793856978416443,5.47415816783905,6.381722450256348
3,33,4.03823184967041,4.8432395458221436,5.697237133979797,6.6367692947387695
0,34,4.248149394989014,5.307473063468933,6.205136179924011,7.201399326324463
1,34,3.909991979598999,4.266445636749268,5.103746056556702,5.7895026206970215
2,34,3.9373722076416016,4.870462417602539,5.568345308303833,6.409512519836426
3,34,4.03823184967041,4.699236035346985,5.657699108123779,6.491934776306152
0,35,4.248149394989014,5.279325246810913,6.17207658290863,7.6167521476745605
1,35,3.909991979598999,4.3190388679504395,5.0544469356536865,5.890071868896484
2,35,4.023195266723633,4.769275903701782,5.5101505517959595,6.346349239349365
3,35,4.03823184967041,4.716614007949829,5.63399338722229,6.414612770080566
0,36,4.248149394989014,5.195440411567688,6.21547269821167,7.416522026062012
1,36,3.909991979598999,4.369556427001953,5.207032203674316,5.8412065505981445
2,36,4.005648136138916,4.865434408187866,5.489196181297302,6.266645431518555
3,36,4.03823184967041,4.759375810623169,5.688894867897034,6.838868141174316
0,37,4.248149394989014,5.263837814331055,6.098878264427185,7.2818922996521
1,37,3.909991979598999,4.281937956809998,5.12243378162384,5.785406589508057
2,37,3.9373722076416016,4.889955401420593,5.500788688659668,6.417312145233154
3,37,4.03823184967041,4.780602335929871,5.677256941795349,6.408666610717773
0,38,4.248149394989014,5.190941572189331,6.133851051330566,7.0244293212890625
1,38,3.909991979598999,4.315579533576965,5.11167848110199,5.885986328125
2,38,4.005648136138916,4.795395374298096,5.543009161949158,6.483421802520752
3,38,4.03823184967041,4.918964982032776,5.661761283874512,6.608753204345703
0,39,4.248149394989014,5.288332462310791,6.129335641860962,7.412020683288574
1,39,3.909991979598999,4.329172134399414,5.13597309589386,5.832335948944092
2,39,3.9373722076416016,4.835000038146973,5.440842151641846,6.5368475914001465
3,39,4.03823184967041,4.780520796775818,5.688055992126465,6.592442512512207
0,40,4.248149394989014,5.166149854660034,6.094208717346191,7.0920867919921875
1,40,3.909991979598999,4.367497444152832,5.16259241104126,5.8480634689331055
2,40,3.9373722076416016,4.816090226173401,5.5437246561050415,6.380531311035156
3,40,4.03823184967041,4.83180296421051,5.699342489242554,6.774951934814453
0,41,4.248149394989014,5.167570352554321,6.114407896995544,7.513463020324707
1,41,3.909991979598999,4.364552140235901,5.209996461868286,5.714714050292969
2,41,3.964761972427368,4.815712094306946,5.533925771713257,6.387180328369141
3,41,4.03823184967041,4.73604941368103,5.669047951698303,6.60222053527832
0,42,4.248149394989014,5.244740962982178,6.1494457721710205,7.309935092926025
1,42,3.909991979598999,4.346022605895996,5.20621395111084,5.84196662902832
2,42,3.9373722076416016,4.73256242275238,5.488714694976807,6.226425647735596
3,42,4.03823184967041,4.805643320083618,5.580132246017456,6.442679405212402
0,43,4.248149394989014,5.238543510437012,6.038561105728149,7.4987311363220215
1,43,3.909991979598999,4.318872332572937,5.170824646949768,5.795560359954834
2,43,4.0563249588012695,4.789513468742371,5.447266936302185,6.298605442047119
3,43,4.03823184967041,4.817304730415344,5.678648948669434,6.506433486938477
0,44,4.248149394989014,5.1832966804504395,6.109127879142761,7.6916937828063965
1,44,3.909991979598999,4.277583956718445,5.148719310760498,5.687795639038086
2,44,4.039322853088379,4.771157503128052,5.525723576545715,6.567706108093262
3,44,4.03823184967041,4.8263866901397705,5.633246660232544,6.595324516296387
0,45,4.248149394989014,5.263788819313049,6.085438132286072,7.543208599090576
1,45,3.909991979598999,4.285454511642456,5.09339439868927,5.951898097991943
2,45,3.9373722076416016,4.754368305206299,5.514335632324219,6.546782970428467
3,45,4.03823184967041,4.722353219985962,5.658634424209595,6.520570755004883
0,46,4.248149394989014,5.137648344039917,6.134354829788208,7.20426082611084
1,46,3.909991979598999,4.320331573486328,5.161692500114441,5.748318672180176
2,46,3.9373722076416016,4.791234731674194,5.542580485343933,6.295146942138672
3,46,4.03823184967041,4.7431560754776,5.5881640911102295,6.505949974060059
0,47,4.248149394989014,5.137040853500366,6.113674759864807,7.427107810974121
1,47,3.909991979598999,4.346022605895996,5.186989784240723,5.682504653930664
2,47,3.9373722076416016,4.7889885902404785,5.486578106880188,6.289614677429199
3,47,4.03823184967041,4.82357120513916,5.543916702270508,6.766821384429932
0,48,4.248149394989014,5.16041898727417,6.032078385353088,7.476944923400879
1,48,3.909991979598999,4.355355978012085,5.236048460006714,5.828218460083008
2,48,3.9373722076416016,4.741966247558594,5.500057935714722,6.226240158081055
3,48,4.03823184967041,4.81004536151886,5.589855194091797,6.401329040527344
0,49,4.248149394989014,5.292003631591797,6.124752759933472,7.800016403198242
1,49,3.909991979598999,4.339994430541992,5.18604850769043,5.7296648025512695
2,49,3.9647622108459473,4.797661185264587,5.545396089553833,6.3284912109375
3,49,4.03823184967041,4.849354982376099,5.709409475326538,6.698423385620117
0,50,4.248149394989014,5.1659287214279175,6.0611371994018555,7.400457382202148
1,50,3.909991979598999,4.322238445281982,5.131891250610352,6.197018623352051
2,50,3.9373722076416016,4.76948606967926,5.447732210159302,6.2966837882995605
3,50,4.03823184967041,4.784111022949219,5.687852144241333,6.442466735839844
0,51,4.248149394989014,5.16257381439209,6.0734264850616455,7.506691932678223
1,51,3.909991979598999,4.342123031616211,5.25819456577301,5.92692756652832
2,51,3.9373722076416016,4.843019366264343,5.529998421669006,6.281179428100586
3,51,4.03823184967041,4.855227470397949,5.626609921455383,6.50383186340332
0,52,4.248149394989014,5.242868185043335,6.065796494483948,7.068487644195557
1,52,3.909991979598999,4.368919372558594,5.239932417869568,5.868199348449707
2,52,3.9373722076416016,4.7473039627075195,5.425172328948975,6.152271270751953
3,52,4.03823184967041,4.669526696205139,5.619561791419983,6.5412092208862305
0,53,4.248149394989014,5.205301284790039,6.192231774330139,7.662744045257568
1,53,3.909991979598999,4.342123031616211,5.088305950164795,5.795560359954834
2,53,3.9373722076416016,4.7565083503723145,5.51852011680603,6.122567176818848
3,53,4.03823184967041,4.738245725631714,5.713195562362671,6.601222038269043
0,54,4.248149394989014,5.17834997177124,6.229591369628906,7.776419162750244
1,54,3.909991979598999,4.28769063949585,5.239955425262451,5.920159339904785
2,54,3.9373722076416016,4.807731866836548,5.537369012832642,6.484463691711426
3,54,4.03823184967041,4.7015838623046875,5.627700448036194,6.393170356750488
0,55,4.248149394989014,5.171235203742981,6.142319202423096,7.2912702560424805
1,55,3.909991979598999,4.369556427001953,5.277046084403992,5.852347373962402
2,55,3.9373722076416016,4.8072134256362915,5.503609776496887,6.366843223571777
3,55,4.03823184967041,4.800739765167236,5.655811309814453,6.500939846038818
0,56,4.248149394989014,5.214347839355469,6.151021957397461,7.115604400634766
1,56,3.909991979598999,4.279446840286255,5.091716885566711,5.963822364807129
2,56,4.005648136138916,4.846789121627808,5.509852290153503,6.231291770935059
3,56,4.03823184967041,4.8477418422698975,5.687636137008667,6.523625373840332
0,57,4.459202766418457,5.270466089248657,6.172520399093628,7.365925312042236
1,57,3.909991979598999,4.309208393096924,5.168456435203552,5.6213860511779785
2,57,3.9373722076416016,4.767242193222046,5.524173855781555,6.471325874328613
3,57,4.03823184967041,4.7593700885772705,5.695560336112976,6.484044551849365
0,58,4.248149394989014,5.175885796546936,6.0836570262908936,7.168997764587402
1,58,3.909991979598999,4.367695569992065,5.262959003448486,5.88545036315918
2,58,3.9373722076416016,4.805849671363831,5.514703989028931,6.408285617828369
3,58,4.03823184967041,4.8073625564575195,5.619086146354675,6.327609062194824
0,59,4.248149394989014,5.128814697265625,6.111789345741272,7.369904518127441
1,59,3.909991979598999,4.358467102050781,5.298906564712524,5.741687297821045
2,59,3.9373722076416016,4.761446714401245,5.515280723571777,6.661242485046387
3,59,4.03823184967041,4.661003589630127,5.664710521697998,6.6453728675842285
0,60,4.248149394989014,5.17106556892395,6.1046024560928345,7.287189483642578
1,60,3.909991979598999,4.370247721672058,5.217044949531555,5.765664100646973
2,60,3.9373722076416016,4.783419489860535,5.479396343231201,6.320311069488525
3,60,4.03823184967041,4.722011566162109,5.6664828062057495,6.515426158905029
0,61,4.248149394989014,5.095980286598206,6.131114840507507,7.332009315490723
